서울특별시,강남구,127.05,37.51
서울특별시,강동구,127.13,37.53
서울특별시,강북구,127.03,37.64
서울특별시,강서구,126.85,37.55
서울특별시,관악구,126.95,37.48
서울특별시,광진구,127.08,37.54
서울특별시,구로구,126.89,37.49
서울특별시,금천구,126.90,37.45
서울특별시,노원구,127.06,37.65
서울특별시,도봉구,127.05,37.67
서울특별시,동대문구,127.04,37.57
서울특별시,동작구,126.94,37.51
서울특별시,마포구,126.91,37.56
서울특별시,서대문구,126.94,37.58
서울특별시,서초구,127.03,37.48
서울특별시,성동구,127.04,37.56
서울특별시,성북구,127.02,37.59
서울특별시,송파구,127.11,37.51
서울특별시,양천구,126.87,37.51
서울특별시,영등포구,126.90,37.52
서울특별시,용산구,126.97,37.54
서울특별시,은평구,126.93,37.60
서울특별시,종로구,126.98,37.57
서울특별시,중구,127.00,37.56
서울특별시,중랑구,127.09,37.60
강원도,강릉시,128.88,37.75
강원도,고성군,128.47,38.38
강원도,동해시,129.12,37.52
강원도,삼척시,129.17,37.45
강원도,속초시,128.59,38.20
강원도,양구군,127.99,38.11
강원도,양양군,128.62,38.07
강원도,영월군,128.46,37.18
강원도,원주시,127.92,37.34
강원도,인제군,128.17,38.07
강원도,정선군,128.66,37.38
강원도,철원군,127.32,38.14
강원도,춘천시,127.73,37.88
강원도,태백시,128.99,37.16
강원도,평창군,128.39,37.37
강원도,홍천군,127.89,37.69
강원도,화천군,127.71,38.10
강원도,횡성군,127.99,37.49
경기도,가평군,127.51,37.83
경기도,고양시 일산동구,126.78,37.66
경기도,고양시 일산서구,126.75,37.67
경기도,고양시덕양구,126.83,37.63
경기도,과천시,126.99,37.43
경기도,광명시,126.87,37.48
경기도,광주시,127.26,37.41
경기도,구리시,127.13,37.59
경기도,군포시,126.94,37.36
경기도,김포시,126.72,37.61
경기도,남양주시,127.22,37.63
경기도,동두천시,127.06,37.90
경기도,부천시,126.77,37.50
경기도,성남시 수정구,127.15,37.45
경기도,성남시 중원구,127.14,37.43
경기도,성남시분당구,127.12,37.38
경기도,수원시 권선구,126.97,37.25
경기도,수원시 영통구,127.05,37.26
경기도,수원시 장안구,127.01,37.30
경기도,수원시 팔달구,127.04,37.28
경기도,시흥시,126.81,37.38
경기도,안산시 단원구,126.81,37.32
경기도,안산시 상록구,126.85,37.30
경기도,안성시,127.28,37.01
경기도,안양시 동안구,126.95,37.39
경기도,안양시 만안구,126.93,37.38
경기도,양주시,127.05,37.78
경기도,여주시,127.64,37.30
경기도,연천군,127.08,38.09
경기도,오산시,127.08,37.15
경기도,용인시 기흥구,127.12,37.28
경기도,용인시 수지구,127.10,37.32
경기도,용인시 처인구,127.20,37.23
